slug,cutoff_date,published_crps,bundle_class,support_start,support_end,retrospective_available_start,retrospective_full_history_available,plot_start,plot_end,forecast_start_date,figure_name,figure_path,sha256,bytes
20211221_exal_m_t1,2021-12-21,0.2369,long_history_support_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,retrospective_log_discharge_plot_faceted.png,SOURCE_RUNTIME_REFERENCE,be4d93af315fa393848a342b3f0745ef2950f167c57d7cae66fd9e8f981c6ff9,1927930
20211221_exal_m_t1,2021-12-21,0.2369,long_history_support_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,forecats.png,SOURCE_RUNTIME_REFERENCE,10432e197b797b26634887722ab916deda8188b827978dc846bdd37a3da93bb3,613689
20220511_exal_m_t1,2022-05-11,0.0210,long_history_support_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,usgs.png,SOURCE_RUNTIME_REFERENCE,fceb4fbf230c46ee310cc5dbca2752c63a59db91064d01b83a5a8264f171bd45,1281805
20220511_exal_m_t1,2022-05-11,0.0210,long_history_support_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,precip_soilmoisture_climatePC1_faceted_labeled.png,SOURCE_RUNTIME_REFERENCE,179b01ed33bb2938336e0a068338a3c1092063924b517d1c0f074c7b00f55bb9,2058165
20220511_exal_m_t1,2022-05-11,0.0210,long_history_support_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,retrospective_log_discharge_plot_faceted.png,SOURCE_RUNTIME_REFERENCE,a6fe606062d39a5370965c32d7e8d16245d6911ca462d45f9f47b98261f05339,1932978
20220511_exal_m_t1,2022-05-11,0.0210,long_history_support_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,forecats.png,SOURCE_RUNTIME_REFERENCE,b4b8414bdb812372c218d41272541a232051c71f4ef05a63b48b809f2eab6f4a,207231
20221225_exal_m_t1,2022-12-25,0.4375,long_history_support_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,usgs.png,SOURCE_RUNTIME_REFERENCE,eeef68672852e4a5362455147b84212ca5bd28d02f9774bb40bdc2a495dc8d8c,1278817
20221225_exal_m_t1,2022-12-25,0.4375,long_history_support_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,precip_soilmoisture_climatePC1_faceted_labeled.png,SOURCE_RUNTIME_REFERENCE,a450b7fa331403f61ea0af951dc1bdf65fab1e4d471c8f89b26cc72d89b9ad03,2062646
20221225_exal_m_t1,2022-12-25,0.4375,long_history_support_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,retrospective_log_discharge_plot_faceted.png,SOURCE_RUNTIME_REFERENCE,a670b1de369c4a576c9d9221eec27f83e78bbdf00db88419a714efa2bf5de16e,1935883
20221225_exal_m_t1,2022-12-25,0.4375,long_history_support_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,forecats.png,SOURCE_RUNTIME_REFERENCE,8a3c1326949a6a8580add5db45ee57d7f17aa1b408dddf7e723a185dec4e2a4b,701065
