cutoff,cutoff_display,manuscript_label,model_variant,selection_mode,source_mode,forecast_covariance_prior_label,forecast_covariance_prior_weight,best_c_factor,selected_run_name,resolved_run_dir,quantile_csv,expected_mean_crps,resolved_mean_crps,crps_abs_diff,horizon_days,provenance_path,provenance_source_run,provenance_selected_output,provenance_reuse_source_run_id,provenance_reused,provenance_source_type,provenance_forecast_covariance_prior_weight,provenance_selected_c_factor
20211221,12/21/2021,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20211221_exdqlm_multivar_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.2604466008954305,0.2604466008954304,5.551115123125783e-17,28,SOURCE_ARTICLE_REFERENCE,selected_model_20211221_exdqlm_multivar_keep,selected_model_20211221_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20211221,12/21/2021,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_univar,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.8333655063005331,0.833365506300533,1.1102230246251565e-16,28,SOURCE_ARTICLE_REFERENCE,multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
20220511,05/11/2022,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20220511_v8_he2tbl1fix20260612_dqlm_multivar_al_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.0546749465068908,0.0546749465068908,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20220511_v8_he2tbl1fix20260612_dqlm_multivar_al_keep,multimodel_20220511_v8_he2tbl1fix20260612_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20220511,05/11/2022,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20220511_v8_he2pubgdpc1r1_dqlm_univar_al,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.1050582499935664,0.1050582499935664,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20220511_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20220511_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
20220511,05/11/2022,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20220511_exdqlm_multivar_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.0227281783203013,0.0227281783203013,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20220511_exdqlm_multivar_keep,selected_model_20220511_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20220511,05/11/2022,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_univar,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.124521763852018,0.124521763852018,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
20221225,12/25/2022,AL-M-T1,dqlm_multivar_al_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20221225_dqlm_multivar_al_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.6276416774750632,0.627641677475063,1.1102230246251565e-16,28,SOURCE_ARTICLE_REFERENCE,selected_model_20221225_dqlm_multivar_al_keep,selected_model_20221225_dqlm_multivar_al_keep,,False,he2-publication-manifest,,
20221225,12/25/2022,AL-U-T1,dqlm_univar_al,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20221225_v8_he2pubgdpc1r1_dqlm_univar_al,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,1.733756863696973,1.733756863696973,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20221225_v8_he2pubgdpc1r1_dqlm_univar_al,multimodel_20221225_v8_he2pubgdpc1r1_dqlm_univar_al,,False,he2-publication-manifest,,
20221225,12/25/2022,exAL-M-T1,exdqlm_multivar_keep,he2-publication-manifest,he2-publication-manifest,,,,selected_model_20221225_exdqlm_multivar_keep,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,0.5380554847458453,0.5380554847458453,0.0,28,SOURCE_ARTICLE_REFERENCE,selected_model_20221225_exdqlm_multivar_keep,selected_model_20221225_exdqlm_multivar_keep,,False,he2-publication-manifest,,
20221225,12/25/2022,exAL-U-T1,exdqlm_univar,he2-publication-manifest,he2-publication-manifest,,,,multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_univar,SOURCE_RUNTIME_REFERENCE,SOURCE_RUNTIME_REFERENCE,1.7054787321666038,1.7054787321666038,0.0,28,SOURCE_ARTICLE_REFERENCE,multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_univar,multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_univar,,False,he2-publication-manifest,,
