"time","ELI_lon"
76292,203.464523809524
76293,205.804520210695
76294,202.9618415429
76295,201.002120904919
76296,197.243510638298
76297,196.481648199446
76298,196.530469466816
76299,195.025642957605
76300,192.658469608906
76301,194.565415584416
76302,195.388217842763
76303,195.446360959192
76304,197.258749207021
76305,198.164390581717
76306,197.215992340992
76307,194.757837642881
76308,189.356657608696
76309,187.405685627771
76310,186.785128388017
76311,184.471038533373
76312,181.628316705583
76313,183.05498462327
76314,184.175698223637
76315,183.487164687775
76316,181.839527395765
76317,181.147151551705
76318,180.471439662822
76319,181.151080676225
76320,181.955194876287
76321,183.360953508869
76322,183.542726798749
76323,183.470722483046
76324,183.788939790576
76325,183.496198181621
76326,182.008699434537
76327,181.652714687432
76328,181.889446904988
76329,183.017625013104
76330,183.576980916822
76331,184.72572449185
76332,186.340107701387
76333,187.040618287818
76334,185.156051964512
76335,184.652862016679
76336,186.275908991944
76337,186.064458924447
76338,184.137840729894
76339,182.600853713513
76340,185.980435029532
76341,187.919013689408
76342,188.938035927494
76343,188.81890684815
76344,188.51282641673
76345,188.941983234295
76346,187.784538593298
76347,186.248401257316
76348,187.276487090097
76349,189.6018798855
76350,188.432279099161
76351,189.707349302744
76352,192.732548394074
76353,194.317583860251
76354,194.142809391379
76355,194.492218793981
76356,195.71452794357
76357,194.969650321997
76358,195.828765738709
76359,194.212722419929
76360,193.882360612032
76361,195.038506691712
76362,195.058481027039
76363,194.212469932211
76364,192.92875398483
76365,192.500558784086
76366,192.321030127987
76367,190.970964791952
76368,190.388655340369
76369,189.634834548189
76370,189.072755034665
76371,187.038370998117
76372,183.304567230057
76373,181.305349516745
76374,183.187535290796
76375,184.062800963082
76376,187.788207334908
76377,189.141111172628
76378,189.346361900721
76379,189.542506426735
76380,190.226521672303
76381,191.511447828771
76382,193.635438633488
76383,195.107021563342
76384,195.422573713415
76385,194.540930831494
76386,194.202955880837
76387,192.250591077303
76388,188.75529638348
76389,189.236365619546
76390,188.257203576949
76391,188.147794683071
76392,187.030134781185
76393,186.880917937927
76394,185.219348707552
76395,182.986834797536
76396,183.58026341607
76397,182.696445771528
76398,182.702416918429
76399,182.257632448811
76400,181.678723056826
76401,182.749393148301
76402,182.303537934915
76403,180.941485000482
76404,179.453065990857
76405,182.794980426496
76406,187.202556096528
76407,189.928031892572
76408,190.368941717792
76409,191.134719112558
76410,190.126113924051
76411,189.602025169205
76412,188.460667820795
76413,186.914061689995
76414,184.148568855084
76415,182.144494514107
76416,181.262513751375
76417,183.676164683145
76418,188.558418928833
76419,191.999868587048
76420,194.716565226759
76421,194.145517949827
76422,195.182256804998
76423,194.481926332647
76424,193.20567111009
76425,193.185201997276
76426,192.899850894632
76427,194.368151067874
76428,194.934325044405
