cutoff,artifact,comparison_basis,all_equal,distinct_hashes,missing_count,hash_groups_json,missing_labels
20211112,parameters,sha256_16,True,1,0,"{""053751db21f49dc0"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,retros,semantic_csv_against_canonical_bundle,True,2,0,"{""66fafe750849e850"":[""AL-M-T1"",""exAL-M-T1""],""7ed09f7a9bb2e3e4"":[""AL-M-T0"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-U-T1""]}",
20211112,nws_forecast,sha256_16,True,1,0,"{""65caecc51ffeda06"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,glofas_forecast,sha256_16,True,1,0,"{""66c1a91a95283e46"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,usgs_daily,sha256_16,True,1,0,"{""26203af07e94bc96"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,cov_01_PPT,sha256_16,True,1,0,"{""f05095d0fbf2f05c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,cov_02_SOIL,sha256_16,True,1,0,"{""02f975535cfeeb11"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,cov_03_PCA,sha256_16,True,1,0,"{""bf77eb613a082b03"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,covariate_features,sha256_16,True,1,0,"{""63bc75ae398ed143"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,deterministic_precip_future,sha256_16,True,1,0,"{""bbde298e2642cf77"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211112,deterministic_soil_future,sha256_16,True,1,0,"{""e754c0951e2b1535"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,parameters,sha256_16,True,1,0,"{""053751db21f49dc0"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,retros,semantic_csv_against_canonical_bundle,True,1,0,"{""5eb973ed4ab71d6c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,nws_forecast,sha256_16,True,1,0,"{""9ddcbb8301abcbef"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,glofas_forecast,sha256_16,True,1,0,"{""4e559d3a1bbaef2c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,usgs_daily,sha256_16,True,1,0,"{""56f85d1d6fbdce25"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,cov_01_PPT,sha256_16,True,1,0,"{""579c38bf99278708"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,cov_02_SOIL,sha256_16,True,1,0,"{""d6c454ee7f01ceaa"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,cov_03_PCA,sha256_16,True,1,0,"{""bf77eb613a082b03"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,covariate_features,sha256_16,True,1,0,"{""a5428f312be497c4"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,deterministic_precip_future,sha256_16,True,1,0,"{""5eebd6c5fef64717"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20211221,deterministic_soil_future,sha256_16,True,1,0,"{""561b87ed231d5ce2"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,parameters,sha256_16,True,1,0,"{""053751db21f49dc0"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,retros,semantic_csv_against_canonical_bundle,True,1,0,"{""a40ea8c4ab8a9dd3"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,nws_forecast,sha256_16,True,1,0,"{""6a1433bec7303841"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,glofas_forecast,sha256_16,True,1,0,"{""cc4e74831bb8fb6c"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,usgs_daily,sha256_16,True,1,0,"{""e8d513c3fd4ef02b"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,cov_01_PPT,sha256_16,True,1,0,"{""dd4f7343af668946"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,cov_02_SOIL,sha256_16,True,1,0,"{""17550fe819939091"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,cov_03_PCA,sha256_16,True,1,0,"{""bf77eb613a082b03"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,covariate_features,sha256_16,True,1,0,"{""88d16d4bc9298dd2"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,deterministic_precip_future,sha256_16,True,1,0,"{""ac0c581e4c52c433"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20220511,deterministic_soil_future,sha256_16,True,1,0,"{""7b641e56b6c9ce8a"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,parameters,sha256_16,True,1,0,"{""053751db21f49dc0"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,retros,semantic_csv_against_canonical_bundle,True,2,0,"{""5e1a903c38adace1"":[""AL-M-T1"",""exAL-M-T0""],""6b9a415b3029021a"":[""AL-M-T0"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,nws_forecast,sha256_16,True,1,0,"{""0ec35552647bf53f"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,glofas_forecast,sha256_16,True,1,0,"{""81791f49d1b71a29"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,usgs_daily,sha256_16,True,1,0,"{""8231c6da514d771b"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,cov_01_PPT,sha256_16,True,1,0,"{""3588c5e441a091c5"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,cov_02_SOIL,sha256_16,True,1,0,"{""0b2512cb0170d77e"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,cov_03_PCA,sha256_16,True,1,0,"{""bf77eb613a082b03"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,covariate_features,sha256_16,True,1,0,"{""e19d87df15f434cc"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,deterministic_precip_future,sha256_16,True,1,0,"{""981590803f1b25b5"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
20221225,deterministic_soil_future,sha256_16,True,1,0,"{""96d7b3535d6b1c43"":[""AL-M-T0"",""AL-M-T1"",""AL-U-T1"",""N-M-T0"",""N-M-T1"",""N-U-T1"",""exAL-M-T0"",""exAL-M-T1"",""exAL-U-T1""]}",
